timestamp,sunrise_hour,sunset_hour,is_night,night_value
2017-12-31 00:00:00+01:00,8.2,16.2,True,155.36
2017-12-31 01:00:00+01:00,8.2,16.2,True,157.47
2017-12-31 02:00:00+01:00,8.2,16.2,True,113.91
2017-12-31 03:00:00+01:00,8.2,16.2,True,136.08
2017-12-31 04:00:00+01:00,8.2,16.2,True,156.23
2017-12-31 05:00:00+01:00,8.2,16.2,True,137.97
2017-12-31 06:00:00+01:00,8.2,16.2,True,143.87
2017-12-31 07:00:00+01:00,8.2,16.2,True,87.01
2017-12-31 08:00:00+01:00,8.2,16.2,True,101.01
2017-12-31 09:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 10:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 11:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 12:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 13:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 14:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 15:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 16:00:00+01:00,8.2,16.2,False,0.0
2017-12-31 17:00:00+01:00,8.2,16.2,True,116.07
2017-12-31 18:00:00+01:00,8.2,16.2,True,76.42
2017-12-31 19:00:00+01:00,8.2,16.2,True,148.08
2017-12-31 20:00:00+01:00,8.2,16.2,True,125.31
2017-12-31 21:00:00+01:00,8.2,16.2,True,136.47
2017-12-31 22:00:00+01:00,8.2,16.2,True,138.06
2017-12-31 23:00:00+01:00,8.2,16.2,True,134.83
2018-01-01 00:00:00+01:00,8.2,16.5,True,132.25
2018-01-01 01:00:00+01:00,8.2,16.5,True,176.97
2018-01-01 02:00:00+01:00,8.2,16.5,True,181.45
2018-01-01 03:00:00+01:00,8.2,16.5,True,166.92
2018-01-01 04:00:00+01:00,8.2,16.5,True,115.59
2018-01-01 05:00:00+01:00,8.2,16.5,True,118.84
2018-01-01 06:00:00+01:00,8.2,16.5,True,129.98
2018-01-01 07:00:00+01:00,8.2,16.5,True,113.17
2018-01-01 08:00:00+01:00,8.2,16.5,True,102.63
2018-01-01 09:00:00+01:00,8.2,16.5,False,0.0
2018-01-01 10:00:00+01:00,8.2,16.5,False,0.0
2018-01-01 11:00:00+01:00,8.2,16.5,False,0.0
2018-01-01 12:00:00+01:00,8.2,16.5,False,0.0
2018-01-01 13:00:00+01:00,8.2,16.5,False,0.0
2018-01-01 14:00:00+01:00,8.2,16.5,False,0.0
2018-01-01 15:00:00+01:00,8.2,16.5,False,0.0
2018-01-01 16:00:00+01:00,8.2,16.5,False,0.0
